prompt_template,prompt_en,Topic,Culture,Language,prompt_translated
a,A photo of a Zimbabwean person,Person,Zimbabwean,am,የአንድ ዚምባብዌ ግለሰብ ፎቶ
a,A photo of a Zimbabwean woman,Person-female,Zimbabwean,am,የአንድ ዚምባብዌ ሴት ፎቶ
a,A photo of a Zimbabwean man,Person-male,Zimbabwean,am,የአንድ ዚምባብዌ ሰው ፎቶ
a,A photo of a Yemeni person,Person,Yemeni,am,የአንድ የየመን ግለሰብ ፎቶ
a,A photo of a Yemeni woman,Person-female,Yemeni,am,የአንድ የየመን ሴት ፎቶ
a,A photo of a Yemeni man,Person-male,Yemeni,am,የአንድ የየመን ሰው ፎቶ
a,A photo of a Welsh person,Person,Welsh,am,የአንድ ዌልሳዊ ግለሰብ ፎቶ
a,A photo of a Welsh woman,Person-female,Welsh,am,የአንድ ዌልሳዊ ሴት ፎቶ
a,A photo of a Welsh man,Person-male,Welsh,am,የአንድ ዌልሳዊ ሰው ፎቶ
a,A photo of a Vietnamese person,Person,Vietnamese,am,የአንድ ቬትናምኛ ግለሰብ ፎቶ
a,A photo of a Vietnamese woman,Person-female,Vietnamese,am,የአንድ ቪትናምኛ ሴት ፎቶ
a,A photo of a Vietnamese man,Person-male,Vietnamese,am,የአንድ ቪትናምኛ ሰው ፎቶ
a,A photo of an Ugandan person,Person,Ugandan,am,የአንድ ኡጋንዳ ግለሰብ ፎቶ
a,A photo of an Ugandan woman,Person-female,Ugandan,am,የአንድ ኡጋንዳ ሴት ፎቶ
a,A photo of an Ugandan man,Person-male,Ugandan,am,የአንድ ኡጋንዳ ሰው ፎቶ
a,A photo of a Tunisian person,Person,Tunisian,am,የአንድ ቱኒዚያ ግለሰብ ፎቶ
a,A photo of a Tunisian woman,Person-female,Tunisian,am,የአንድ ቱኒዚያ ሴት ፎቶ
a,A photo of a Tunisian man,Person-male,Tunisian,am,የአንድ ቱኒዚያ ሰው ፎቶ
a,A photo of a Togolese person,Person,Togolese,am,የአንድ ቶጎ ግለሰብ ፎቶ
a,A photo of a Togolese woman,Person-female,Togolese,am,የአንድ ቶጎ ሴት ፎቶ
a,A photo of a Togolese man,Person-male,Togolese,am,የአንድ ቶጎ ሰው ፎቶ
a,A photo of a Syrian person,Person,Syrian,am,የአንድ ሶሪያዊ ግለሰብ ፎቶ
a,A photo of a Syrian woman,Person-female,Syrian,am,የአንድ ሶሪያዊ ሴት ፎቶ
a,A photo of a Syrian man,Person-male,Syrian,am,የአንድ ሶሪያዊ ሰው ፎቶ
a,A photo of a Sudanese person,Person,Sudanese,am,የአንድ ሱዳናዊ ግለሰብ ፎቶ
a,A photo of a Sudanese woman,Person-female,Sudanese,am,የአንድ ሱዳናዊት ሴት ፎቶ
a,A photo of a Sudanese man,Person-male,Sudanese,am,የአንድ ሱዳናዊ ሰው ፎቶ
a,A photo of a Sri Lankan person,Person,Sri Lankan,am,የአንድ የሲሪላንካ ግለሰብ ፎቶ
